Year,Metric,Dimension,Category,Status,Source, Mean , SD , p10 , p25 , p50 , p75 , p90 , N 
2011,GVA per worker,1. All,All,Exporter,ABS," 70,500 "," 109,500 "," 4,500 "," 23,000 "," 51,000 "," 92,000 "," 153,000 "," 178,200 "
2012,GVA per worker,1. All,All,Exporter,ABS," 71,500 "," 428,500 "," 4,000 "," 22,500 "," 48,500 "," 90,000 "," 155,500 "," 190,100 "
2013,GVA per worker,1. All,All,Exporter,ABS," 73,500 "," 97,000 "," 5,000 "," 21,500 "," 49,000 "," 92,500 "," 162,500 "," 210,400 "
2014,GVA per worker,1. All,All,Exporter,ABS," 78,500 "," 106,500 "," 7,000 "," 26,500 "," 54,500 "," 99,500 "," 171,500 "," 204,550 "
2015,GVA per worker,1. All,All,Exporter,ABS," 72,500 "," 247,500 "," 6,500 "," 23,500 "," 52,000 "," 93,000 "," 154,000 "," 210,000 "
2016,GVA per worker,1. All,All,Exporter,ABS," 86,500 "," 313,000 "," 6,000 "," 21,500 "," 49,000 "," 94,000 "," 155,500 "," 198,250 "
2017,GVA per worker,1. All,All,Exporter,ABS," 76,500 "," 287,000 "," 8,500 "," 27,500 "," 49,500 "," 89,000 "," 152,000 "," 213,800 "
2018,GVA per worker,1. All,All,Exporter,ABS," 68,500 "," 170,500 "," 3,500 "," 22,000 "," 43,500 "," 88,500 "," 146,000 "," 212,900 "
2019,GVA per worker,1. All,All,Exporter,ABS," 80,500 "," 242,000 "," 7,000 "," 24,000 "," 47,500 "," 85,000 "," 153,000 "," 252,800 "
2020,GVA per worker,1. All,All,Exporter,ABS," 58,500 "," 242,000 "," 6,000 "," 18,000 "," 41,000 "," 72,000 "," 126,500 "," 228,550 "
2021,GVA per worker,1. All,All,Exporter,ABS," 65,000 "," 231,500 "," 2,000 "," 18,000 "," 40,500 "," 80,000 "," 151,000 "," 253,900 "
2022,GVA per worker,1. All,All,Exporter,ABS," 70,500 "," 154,500 "," 8,000 "," 24,000 "," 50,500 "," 91,500 "," 156,000 "," 251,350 "
2011,GVA per worker,1. All,All,Non-Exporter,ABS," 48,000 "," 73,500 "," 2,500 "," 14,000 "," 31,500 "," 61,500 "," 108,000 "," 1,128,900 "
2012,GVA per worker,1. All,All,Non-Exporter,ABS," 49,500 "," 71,000 "," 3,500 "," 14,000 "," 32,000 "," 63,000 "," 110,000 "," 1,223,650 "
2013,GVA per worker,1. All,All,Non-Exporter,ABS," 51,500 "," 83,000 "," 4,000 "," 14,500 "," 34,000 "," 64,500 "," 111,000 "," 1,447,650 "
2014,GVA per worker,1. All,All,Non-Exporter,ABS," 53,000 "," 111,500 "," 4,500 "," 14,500 "," 34,000 "," 66,500 "," 117,000 "," 1,526,550 "
